,AYB,YR_RMDL,EYB,SALEDATE,GIS_LAST_MOD_DTTM
513,1996.0,,2004,1997-02-19 00:00:00,2018-07-22 18:01:43
516,1900.0,1989.0,1963,1997-08-26 00:00:00,2018-07-22 18:01:43
517,1900.0,1997.0,1963,2014-09-26 00:00:00,2018-07-22 18:01:43
519,1905.0,,1961,1992-06-15 00:00:00,2018-07-22 18:01:43
521,1905.0,2011.0,1969,2016-12-08 00:00:00,2018-07-22 18:01:43
522,1905.0,,1972,2017-02-08 00:00:00,2018-07-22 18:01:43
524,1905.0,2000.0,1984,2005-04-20 00:00:00,2018-07-22 18:01:43
525,1905.0,2000.0,1984,2004-05-05 00:00:00,2018-07-22 18:01:43
527,1885.0,1987.0,1960,1992-04-03 00:00:00,2018-07-22 18:01:43
528,1885.0,2000.0,1969,2003-08-20 00:00:00,2018-07-22 18:01:43
531,1890.0,2017.0,1969,2015-09-03 00:00:00,2018-07-22 18:01:43
532,1910.0,,1960,2017-01-31 00:00:00,2018-07-22 18:01:43
533,1890.0,,1967,2005-04-08 00:00:00,2018-07-22 18:01:43
536,1900.0,2009.0,1984,2009-09-22 00:00:00,2018-07-22 18:01:43
537,1900.0,2016.0,1972,2017-08-03 00:00:00,2018-07-22 18:01:43
538,1900.0,1978.0,1963,2018-01-03 00:00:00,2018-07-22 18:01:43
539,1900.0,2007.0,1984,2005-01-22 00:00:00,2018-07-22 18:01:43
540,1900.0,2003.0,1963,2003-08-28 00:00:00,2018-07-22 18:01:43
541,1900.0,2002.0,1984,2002-01-03 00:00:00,2018-07-22 18:01:43
544,1900.0,2003.0,1972,2015-06-05 00:00:00,2018-07-22 18:01:43
545,1921.0,2004.0,1984,2002-05-30 00:00:00,2018-07-22 18:01:43
546,1900.0,2016.0,1984,2017-12-15 00:00:00,2018-07-22 18:01:43
547,1921.0,2004.0,1972,2012-03-02 00:00:00,2018-07-22 18:01:43
548,1921.0,2008.0,1972,2010-11-08 00:00:00,2018-07-22 18:01:43
549,1900.0,1988.0,1963,2004-06-30 00:00:00,2018-07-22 18:01:43
550,1900.0,2000.0,1960,1996-01-25 00:00:00,2018-07-22 18:01:43
551,1875.0,2000.0,1960,1997-12-10 00:00:00,2018-07-22 18:01:43
552,1890.0,2014.0,1957,2003-03-14 00:00:00,2018-07-22 18:01:43
553,1892.0,,1967,1994-08-04 00:00:00,2018-07-22 18:01:43
555,1915.0,2004.0,1972,1994-09-21 00:00:00,2018-07-22 18:01:43
556,1906.0,1984.0,1963,2013-12-17 00:00:00,2018-07-22 18:01:43
558,1820.0,,1954,2008-01-09 00:00:00,2018-07-22 18:01:43
559,1900.0,2015.0,1964,2016-08-15 00:00:00,2018-07-22 18:01:43
561,1880.0,2000.0,1964,2005-01-12 00:00:00,2018-07-22 18:01:43
562,1900.0,2013.0,1972,1998-06-08 00:00:00,2018-07-22 18:01:43
567,1900.0,,1967,2006-03-17 00:00:00,2018-07-22 18:01:43
568,1900.0,,1957,1992-08-31 00:00:00,2018-07-22 18:01:43
569,1900.0,2002.0,1967,1995-12-01 00:00:00,2018-07-22 18:01:43
570,1900.0,,1967,2005-10-06 00:00:00,2018-07-22 18:01:43
572,1900.0,2008.0,1964,2017-10-06 00:00:00,2018-07-22 18:01:43
573,1900.0,,1964,2017-08-17 00:00:00,2018-07-22 18:01:43
574,1907.0,2000.0,1967,2009-10-30 00:00:00,2018-07-22 18:01:43
575,1907.0,2009.0,1967,2010-12-09 00:00:00,2018-07-22 18:01:43
576,1907.0,2011.0,1967,2012-01-30 00:00:00,2018-07-22 18:01:43
